age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
27,M,559,En Couple,1,false,1570 YQ 41
29,M,787,Célibataire,0,false,2605 LZ 72
31,F,1083,Célibataire,0,false,1856 PE 22
37,M,500,En Couple,2,false,3458 DJ 71
64,M,226,En Couple,0,true,405 DE 59
40,M,583,En Couple,4,false,5131 LH 25
26,F,158,Célibataire,0,false,101 KG 81
21,M,158,En Couple,3,false,9878 VJ 92
54,M,1347,Célibataire,0,false,7830 IS 64
25,M,206,Célibataire,0,false,5282 LW 27
28,M,471,En Couple,4,false,2225 AC 81
24,M,1360,En Couple,2,false,482 CH 25
22,F,859,En Couple,2,false,3233 JQ 46
44,M,582,Célibataire,0,false,6584 VR 63
31,M,1228,En Couple,3,false,2594 KB 97
44,F,449,Célibataire,0,false,3899 HU 19
82,F,500,En Couple,3,false,6083 GC 76
24,M,222,En Couple,2,true,8417 LO 56
56,M,164,En Couple,4,false,4932 SK 86
59,F,776,Célibataire,0,false,5349 UX 44
59,F,800,Célibataire,0,false,5736 TK 66
28,Masculin,541,En Couple,2,false,5121 TE 67
48,F,502,Célibataire,0,false,2756 EV 71
57,M,1366,En Couple,0,false,2180 PC 90
74,F,459,En Couple,3,true,6893 QK 27
24,F,514,Célibataire,0,false,430 ZA 55
48,M,846,Célibataire,0,false,7773 DS 30
22,F,578,En Couple,2,false,671 XA 37
75,M,166,En Couple,2,true,4959 AY 88
33,M,221,En Couple,0,false,6955 VE 35
47,M,549,En Couple,1,false,5150 CY 50
20,F,1327,En Couple,1,false,8887 LL 68
30,F,464,Célibataire,0,false,2137 OE 28
40,F,454,En Couple,1,true,6828 LS 34
58,F,1011,Seule,2,false,1794 UY 23
31,M,409,Seule,1,false,4979 ZK 83
48,M,475,En Couple,4,true,6441 KZ 56
28,F,1315,Seul,0,false,3288 XV 15
22,F,1100,En Couple,3,false,8261 PU 23
41,F,781,En Couple,0,false,6439 QP 79
38,M,994,Célibataire,0,false,3691 KG 60
36,M,925,Seule,2,false,4769 KR 73
45,F,1322,En Couple,0,false,1316 UV 11
60,M,718,Célibataire,0,false,3287 BA 47
40,M,1152,Célibataire,0,false,9211 XT 88
40,M,581,En Couple,2,true,3821 BF 98
31,M,229,Célibataire,0,false,7804 MR 79
46,M,454,En Couple,4,false,6328 JB 41
39,F,200,Célibataire,0,false,6534 MB 82
53,M,877,En Couple,3,false,9072 JE 17
70,F,246,En Couple,1,false,457 ZP 43
53,M,586,En Couple,0,false,8894 QP 90
38,M,151,En Couple,0,false,5288 CQ 40
54,M,774,En Couple,0,false,6959 NH 40
20,F,176,Célibataire,0,false,9064 HQ 12
19,M,548,Célibataire,0,false,4798 WY 71
50,F,776,Célibataire,0,false,6463 BU 69
45,M,226,Célibataire,0,false,3149 ZG 62
46,M,242,?,2,false,6741 RS 96
47,M,801,En Couple,0,true,6636 JR 70
23,M,418,En Couple,4,false,8229 HT 70
55,M,185,Célibataire,0,false,7856 ZF 92
25,M,227,En Couple,2,false,3725 FO 89
56,M,887,Célibataire,0,false,1693 XF 77
65,M,405,En Couple,4,false,5865 EB 76
70,M,1228,Célibataire,0,false,7612 YB 34
48,M,481,En Couple,2,false,4843 NX 89
82,M,150,Célibataire,0,false,5622 EP 96
34,F,596,Célibataire,0,false,4422 QM 33
41,F,980,Seule,1,false,1285 BB 84
51,F,153,En Couple,0,false,8558 IL 74
40,M,243,Célibataire,0,false,2537 ZX 48
25,F,557,En Couple,0,false,4105 CE 34
64,M,411,Célibataire,0,false,6625 EB 94
52,M,438,En Couple,3,false,144 RO 40
40,F,507,En Couple,3,false,5038 FI 86
24,F,1195,En Couple,2,true,6126 WH 33
55,Masculin,1267,En Couple,3,false,5043 NY 80
20,M,1330,Célibataire,0,false,367 UJ 72
21,M,761,En Couple,1,false,951 HU 37
39,M,547,Célibataire,0,false,7858 EJ 30
32,M,1191,En Couple,0,false,1936 ES 46
39,M,840,En Couple,2,false,5111 AL 45
41,F,712,En Couple,2,false,3225 SN 16
44,M,586,En Couple,0,false,2673 WC 10
77,F,594,Célibataire,0,false,1004 PJ 77
54,F,509,En Couple,1,false,5493 CU 46
23,F,1154,En Couple,4,false,8761 XD 86
49,M,203,Célibataire,0,false,393 UQ 62
42,M,236,En Couple,4,false,61 ZJ 31
31,M,508,En Couple,3,false,4677 CO 76
21,M,1283,Célibataire,0,false,3467 KW 74
51,Masculin,1117,En Couple,3,false,6245 SL 12
32,M,239,Célibataire,0,false,246 OR 73
82,M,510,Célibataire,0,false,1108 SW 21
20,M,192,En Couple,1,false,4820 HN 87
34,M,492,Célibataire,0,false,3761 EU 71
48,M,432,Seule,3,false,796 BI 59
22,M,811,En Couple,1,false,669 PM 21
25,M,875,En Couple,1,false,1160 KL 48
33,M,1361,En Couple,2,true,8379 UK 33
20,M,541,En Couple,1,false,404 WO 16
31,F,530,En Couple,3,false,2831 TU 50
44,F,184,En Couple,2,true,9628 QC 32
41,M,586,Célibataire,0,false,751 PA 96
68,M,1068,En Couple,1,false,9825 GB 24
21,F,964,Célibataire,0,false,1716 QD 96
33,M,911,En Couple,2,false,2292 PO 80
47,M,1310,En Couple,3,false,1193 TZ 98
19,F,199,Célibataire,0,false,4393 KV 88
59,M,536,En Couple,2,false,7786 UA 21
49,M,517,Célibataire,0,false,8533 LV 91
81,M,165,En Couple,4,false,5158 PK 62
52,M,1027,En Couple,3,false,8064 DT 69
52,M,1211,En Couple,2,false,4910 WL 37
34,F,190,Marié(e),2,false,8708 MS 57
75,F,405,En Couple,3,false,6627 NB 47
44,M,720,En Couple,1,false,1371 DT 67
41,M,528,Célibataire,0,false,331 YB 33
53,M,473,Célibataire,0,false,1812 GR 23
18,M,453,En Couple,3,false,4651 EL 20
22,F,457,En Couple,3,false,5101 ZP 92
51,M,945,En Couple,1,false,9294 NN 35
21,M,805,En Couple,1,false,2922 BN 36
37,F,215,En Couple,2,false,4732 RL 92
37,M,1037,Seule,3,false,4460 NG 14
84,M,1180,En Couple,0,false,515 UN 23
64,M,567,En Couple,0,false,2379 WC 72
25,F,426,Célibataire,0,false,8178 LI 95
28,M,441,En Couple,0,true,1261 UA 97
20,F,957,En Couple,3,false,6520 LJ 35
58,F,837,En Couple,4,false,1483 UB 31
25,F,154,En Couple,0,true,3897 JK 58
73,F,596,Célibataire,0,false,3426 MD 51
42,M,814,En Couple,4,true,8872 FE 17
70,M,495,Célibataire,0,false,8495 UL 81
31,M,1362,Célibataire,0,false,2446 CQ 96
58,M,598,En Couple,1,false,1874 JT 89
23,F,1059,En Couple,0,true,625 VT 20
50,F,473,En Couple,0,false,2475 VF 89
44,M,204,Célibataire,0,false,6333 JH 62
52,M,1252,En Couple,2,false,1536 HT 87
28,M,526,En Couple,2,false,9342 BZ 32
29,M,166,Célibataire,0,false,5989 YX 86
52,M,868,Seule,3,false,3891 XZ 90
22,M,913,En Couple,3,false,3825 DA 31
25,M,463,Célibataire,0,false,5101 FA 36
72,F,484,En Couple,1,false,7919 DC 10
39,M,1352,En Couple,3,true,9965 OF 53
28,F,452,En Couple,3,false,6298 TB 87
67,M,884,En Couple,4,?,5817 OM 77
45,M,539,En Couple,1,true,5471 PA 21
33,M,571,Seule,3,false,1350 QX 76
27,F,950,En Couple,0,true,7006 AI 79
30,M,1086,Célibataire,0,false,9775 UO 28
20,M,536,Célibataire,0,false,3961 BZ 71
52,M,1364,En Couple,0,false,1244 HN 33
34,M,187,En Couple,0,?,2627 QZ 31
18,M,205,En Couple,1,false,9531 SV 24
36,F,422,En Couple,0,false,3538 RV 18
48,M,479,Célibataire,0,false,1643 DM 50
27,Homme,438,En Couple,2,false,4526 YM 79
41,F,506,En Couple,2,false,6059 OB 10
80,M,469,En Couple,2,true,6783 WZ 16
46,M,763,Célibataire,0,false,591 WI 97
39,F,404,Célibataire,0,false,7185 BL 52
18,M,1202,En Couple,0,true,2907 VC 81
51,M,447,Célibataire,0,false,8147 WR 34
51,F,184,En Couple,3,false,453 YX 52
47,M,421,En Couple,1,true,403 YG 96
58,F,216,En Couple,0,true,7414 BW 97
24,M,559,En Couple,1,false,3715 IG 21
20,M,833,Célibataire,0,false,5113 XT 89
56,M,1220,En Couple,2,false,4199 DQ 11
21,M,196,En Couple,4,false,459 TQ 39
51,M,1036,Célibataire,0,false,7028 YM 74
34,M,524,En Couple,3,false,6809 QK 73
38,M,446,En Couple,0,false,1554 FG 17
39,M,1318,Célibataire,0,false,7236 MN 23
58,M,450,Célibataire,0,false,891 HR 21
54,Homme,200,En Couple,0,true,2191 VK 25
19,F,430,Célibataire,0,false,3401 AQ 53
58,M,548,En Couple,0,false,3455 WN 41
75,M,458,En Couple,3,false,6635 DZ 77
62,M,882,En Couple, ,false,8522 FF 65
71,M,913,Célibataire,0,false,3616 DB 55
19,M,526,En Couple,1,true,200 NY 34
24,F,573,En Couple,2,true,6105 SY 83
30,M,782,En Couple,4,true,3989 MJ 96
39,M,452,Célibataire,0,false,1211 WP 94
25,F,164,Célibataire,0,false,5420 ZB 16
64,F,210,Célibataire,0,false,6010 BB 36
19,M,179,Célibataire,0,false,1229 XR 19
23,M,500,En Couple,4,false,1055 HJ 96
54,F,551,Célibataire,0,false,6439 NP 91
62,M,951,En Couple,1,false,9155 YK 63
45,M,554,En Couple,3,true,4590 PV 81
79,M,1112,En Couple,2,false,9569 AN 77
35,M,522,Célibataire,0,false,6661 IB 47
47,F,446,Célibataire,0,false,6471 DI 41
58,M,560,Célibataire,0,false,9077 JW 15
32,F,523,En Couple,0,false,1125 EA 37
51,M,568,En Couple,3,false,116 FD 39
29,M,568,En Couple,3,true,9147 YQ 66
76,F,1106,En Couple,3,false,4414 IU 41
47,F,154,Célibataire,0,false,9775 JE 17
24,F,589,Célibataire,0,false,4239 NP 98
21,M,497,En Couple,1,false,1877 UT 24
53,F,419,Célibataire,0,false,5623 RO 40
48,M,1355,En Couple,1,false,4804 EI 21
31,M,457,En Couple,0,false,9892 AC 10
40,M,422,En Couple,0,false,5767 OK 90
21,F,906,En Couple,4,false,1034 FB 40
25,M,224,Célibataire,0,false,6681 BI 96
48,M,572,En Couple,1,false,142 RR 16
76,M,598,En Couple,4,false,8231 CD 18
41,M,456,En Couple,0,true,838 DW 35
56,M,1367,En Couple,4,false,9826 ZL 56
62,F,883,Célibataire,0,false,5674 ZS 71
28,M,440,En Couple,2,false,7386 GE 42
21,M,151,En Couple,2,false,8902 BM 47
31,M,872,Célibataire,0,false,723 BD 35
67,Masculin,184,Célibataire,0,false,3013 UQ 36
30,M,450,En Couple,0,false,1171 JH 76
48,F,234,En Couple,4,false,2791 FK 64
65,M,223,En Couple,0,true,5153 UN 57
34,M,498,Célibataire,0,false,3483 JS 43
32,M,737,En Couple,0,false,1367 JC 91
76,F,188,En Couple,4,false,8309 HB 18
24,M,415,En Couple,1,false,7473 GU 81
58,F,788,En Couple,2,false,6201 KA 94
26,F,1203,Célibataire,0,false,9132 HB 43
75,M,483,En Couple,3,false,8269 NO 74
30,M,478,En Couple,2,false,5783 EM 46
33,M,153, ,0,false,378 KK 32
19,F,584,Célibataire,0,false,3924 OW 44
75,M,560,En Couple,0,false,6908 PU 38
65,M,469,En Couple,4,false,5031 GM 56
43,M,1006,En Couple,2,true,2189 AT 33
26,M,221,Célibataire,0,false,4405 AU 54
80,F,833,En Couple,4,false,4429 JZ 66
81,M,743,En Couple,1,false,6294 FM 93
38,M,226,En Couple,3,false,7500 MA 67
27,F,1217,Célibataire,0,false,404 HN 37
59,M,479,En Couple,2,false,4926 JT 52
62,M,962,En Couple,4,false,9065 DI 57
53,M,428,En Couple,4,false,6997 ZG 32
77,M,960,Célibataire,0,false,1764 EN 71
49,F,503,Célibataire,0,false,4794 RZ 49
28,M,1004,En Couple,4,false,9188 ML 37
18,M,502,Célibataire,0,false,2101 TD 85
28,M,528,En Couple,4,false,3243 UA 20
82,M,405,En Couple,4,false,5775 GV 82
29,M,568,Seule,3,false,4619 ML 11
58,M,546,En Couple,3,false,1783 ST 77
45,M,1334,Marié(e),1,false,4844 MK 38
60,M,1107,Célibataire,0,false,8985 KS 53
39,M,209,Célibataire,0,false,1972 OT 51
19,M,200,En Couple,4,false,9704 DT 55
52,M,402,En Couple,0,false,8588 IG 92
26,M,406,En Couple,0,true,1173 UV 23
24,F,851,Célibataire,0,false,8402 CL 59
42,M,1272,Célibataire,0,false,8996 MO 65
23,M,957,Célibataire,0,false,6577 JO 53
32,M,457,En Couple,3,false,6926 LS 48
29,F,204,En Couple,1,false,7401 FI 42
29,M,1171,En Couple,4,true,8777 CG 46
28,F,570,En Couple,0,false,5053 ER 86
27,F,578,En Couple,0,false,3537 JL 15
45,F,1090,Célibataire,0,false,9600 VO 20
35,M,942,En Couple,2,true,6691 PH 58
84,M,472,Célibataire,0,false,5495 VS 22
28,M,243,En Couple,4,false,300 XO 57
44,F,516,En Couple,1,false,2217 XC 21
25,M,201,En Couple,1,false,2829 OH 76
32,M,1079,En Couple,4,false,3969 FE 75
34,M,575,En Couple,2,false,1018 KT 53
76,F,588,En Couple,0,false,9418 SO 84
28,F,1161,En Couple,1,false,5493 HN 82
36,F,523,Célibataire,0,false,7025 IW 51
59,F,475,Célibataire,0,false,4839 VU 55
19,F,577,Seule,3,false,4567 LY 44
46,F,1044,Seule,3,false,9608 KK 88
48,M,472,En Couple,2,false,3532 RA 95
57,M,545,Célibataire,0,false,4385 IP 63
63,M,455,En Couple,4,false,4548 TV 45
52,F,476,Célibataire,0,false,1969 EW 26
21,M,489,Seule,2,false,7013 WP 44
27,F,431,En Couple,0, ,5396 QQ 40
19,F,468,Célibataire,0,false,3703 IL 37
60,M,1206,En Couple,2,true,2189 CB 32
44,M,553,En Couple,4,false,6210 IX 12
20,M,472,En Couple,2,false,8445 NN 89
53,M,1138,Célibataire,0,false,5715 SE 62
21,M,589,Célibataire,0,false,3705 MW 45
26,M,205,En Couple,1,false,9286 BW 36
30,M,179,En Couple,4,false,1847 KR 81
59,M,218,Célibataire,0,false,941 UP 74
24,F,1018,Célibataire,0,false,8113 CD 16
59,M,1110,Célibataire,0,false,1111 BK 63
23,M,532,Célibataire,0,false,592 PA 56
28,M,453,En Couple,0,false,9337 DM 42
21,M,193,En Couple,0,false,8081 UO 71
64,F,200,En Couple,3,false,4632 XF 76
58,F,575,En Couple,0,false,2243 FZ 81
25,M,521,En Couple,1,false,188 LN 51
55,F,446,En Couple,2,false,7703 PC 93
25,M,211,Célibataire,0,false,4895 ZU 17
52,Masculin,425,En Couple,3,true,3070 LK 10
38,M,447,En Couple,2,false,7787 IT 40
74,M,426,En Couple,0,false,9118 IO 39
73,M,166,En Couple,4,false,5583 LN 63
66,F,189,En Couple,1,true,1389 QM 45
55,F,1101,En Couple,0,false,682 GN 26
43,M,400,En Couple,0,false,5027 UC 69
72,M,943,Célibataire,0,false,478 MG 30
84,M,406,Célibataire,0,false,1564 JG 85
65,M,952,Célibataire,0,false,6414 FE 22
62,M,475,En Couple,4,false,8003 NK 41
43,M,169,Seule,2,false,9775 JR 38
27,M,508,En Couple,1,false,3016 QD 21
40,M,1111,En Couple,2,true,8346 KY 50
36,M,246,Célibataire,0,false,6971 PM 41
57,M,177,En Couple,3,false,6984 AO 95
53,M,526,En Couple,0,false,7357 LQ 51
70,M,884,En Couple,0,true,9284 GL 76
60,M,931,Seule,2,false,8997 NB 32
77,M,481,Célibataire,0,false,5724 SY 76
55,M,900,En Couple,3,false,1977 FQ 77
55,M,401,En Couple,2,true,1248 SN 20
23,M,1132,En Couple,1,false,5072 GI 47
59,M,457,Célibataire,0,false,3841 TN 53
50,M,536,Célibataire,0,false,2182 MK 40
35,M,496,En Couple,4,false,7923 LP 87
48,M,207,Célibataire,0,false,6184 KL 54
28,F,918,Célibataire,0,false,7867 RE 65
36,M,191,En Couple,4,false,2739 DN 62
25,F,413,En Couple,3,false,8144 KV 38
50,M,465,Célibataire,0,false,2777 FM 56
40,M,434,En Couple,2,true,5181 ZA 52
27,M,1376,En Couple,0,false,9467 JX 59
46,M,437,En Couple,0,true,3357 IX 55
49,M,599,En Couple,2,false,3967 TS 53
57,F,423,Célibataire,0,false,9550 YM 52
58,F,989,En Couple,2,false,8715 DN 76
82,F,942,En Couple,1,false,1118 QQ 47
53,F,767,En Couple,0,false,5319 PU 85
53,M,404,Célibataire,0,false,4864 IF 85
55,M,1359,Célibataire,0,false,31 SR 47
38,M,524,Célibataire,0,false,1160 WC 10
56,M,471,En Couple,0,true,8286 CX 22
67,M,434,Célibataire,0,false,3530 CT 52
71,M,778,En Couple,0,false,8020 BA 25
53,M,591,En Couple,1,true,4142 XZ 15
22,F,473,Seule,3,false,8801 NS 90
39,F,409,En Couple,4,false,5327 VN 51
18,M,411,En Couple,0,false,535 NW 54
68,M,476,Célibataire,0,false,3446 PD 59
84,M,1318,En Couple,0,false,635 GU 92
80,M,1080,En Couple,0,true,6643 VD 58
25,M,1215,En Couple,0,false,67 VS 69
67,F,539,En Couple,4,false,1956 MN 50
23,M,792,En Couple,0,false,3657 VH 11
78,F,1141,En Couple,2,true,7052 HK 59
54,F,822,En Couple,0,false,7318 VC 90
29,M,171,En Couple,4,false,8461 II 57
57,M,872,En Couple,1,false,5623 RF 97
20,F,199,En Couple,1,false,5757 PF 41
60,M,210,En Couple,0,false,1163 AI 91
83,M,444,En Couple,4,false,7700 SA 56
32,M,587,En Couple,2,true,5427 DW 60
29,M,551,En Couple,1,true,9292 CP 63
74,M,590,En Couple,4,false,8400 MP 96
61,M,934,Célibataire,0,false,8752 IZ 22
32,F,598,En Couple,2,false,408 XA 46
21,F,478,Seule,1,false,6013 OQ 12
49,M,425,En Couple,0,true,2961 BA 95
55,M,208,En Couple,1,false,3571 BF 32
83,M,164,En Couple,0,false,2756 SJ 42
19,M,-1,Seule,3,false,2099 WX 96
57,F,435,En Couple,0,true,1819 TE 41
25,M,414,En Couple,3,false,3538 PB 50
58,M,461,En Couple,2,true,4018 TC 81
18,M,1233,En Couple,1,false,6693 YK 62
47,M,400,En Couple,3,false,2489 KC 51
29,M,447,Célibataire,0,false,4691 TT 75
26,M,959,Célibataire,0,false,9039 GM 85
19,F,507,En Couple,0,false,3382 PZ 74
49,F,508,En Couple,0,false,9416 JA 63
49,M,943,Marié(e),1,false,5897 DF 40
39,M,572,En Couple,3,false,7592 YN 31
21,M,226,En Couple,2,?,7626 LW 57
75,M,178,Seule,3,false,6918 FN 54
43,M,1273,En Couple,0,false,6137 FL 33
67,F,824,En Couple,1,false,9417 LB 21
75,M,499,Seule,3,false,4567 PE 67
41,F,454,En Couple,0,false,8734 XD 86
79,M,1298,Célibataire,0,false,488 VI 45
31,M,474,En Couple,4,false,2767 IH 90
56,M,484,En Couple,4,true,4976 EF 49
42,M,1104,En Couple,4,false,7212 BX 75
71,M,520,Célibataire,0,false,3993 PT 33
50,M,563,En Couple,4,true,8710 NG 86
65,F,540,Célibataire,0,false,1163 WO 64
35,F,161,En Couple,3,true,7646 WT 60
45,M,232,En Couple,1,false,8930 AP 83
24,F,553,En Couple,4,false,970 DT 91
60,M,492,Célibataire,-1,false,8508 UN 92
19,M,422,Célibataire,0,false,6384 IQ 31
31,F,456,En Couple,2,false,7799 OP 95
73,M,554,En Couple,3,false,3881 EU 98
35,M,1125,Célibataire,0,false,2055 PR 94
45,F,475,En Couple,3,false,4399 RI 56
33,F,885,En Couple,2,false,8301 KW 43
53,M,416,Célibataire,0,false,2622 ET 92
26,M,415,En Couple,0,false,944 CT 43
28,M,439,Célibataire,0,false,2294 LC 24
37,M,1371,En Couple,2,false,9736 ZQ 21
30,M,791,Célibataire,0,false,967 WE 12
49,M,402,Célibataire,0,false,9101 CS 27
19,F,1053,En Couple,2,false,5795 DO 92
18,M,432,Seule,2,false,1052 MW 69
21,F,439,Célibataire,0,false,8191 RQ 60
23,M,207,En Couple,4,true,5154 KC 42
25,M,1213,Célibataire,0,false,3041 UX 50
26,M,510,En Couple,4,false,606 WO 23
38,M,840,En Couple,4,false,3827 LA 73
60,M,202,En Couple,0,false,9939 IK 40
26,M,202,En Couple,4,false,6318 TO 65
80,M,163,En Couple,2,false,3459 RO 84
25,M,417,En Couple,1,false,1039 VU 16
23,M,401,En Couple,1,false,9908 EW 98
44,M,880,En Couple,0,false,2438 JW 93
26,M,582,En Couple,2,false,4446 IT 34
44,M,770,En Couple,0,false,5601 HM 75
40,M,968,En Couple,3,false,9451 QG 41
46,F,199,En Couple,0,false,1637 OT 92
51,M,711,En Couple,1,false,4550 TC 81
60,F,460,En Couple,4,false,4709 TF 57
43,M,181,En Couple,0,false,4156 VG 72
54,M,217,Seule,1,false,6312 PS 66
40,M,540,En Couple,2,false,6285 LL 58
26,M,709,Seule,2,false,2807 SM 84
63,F,1004,Célibataire,0,false,8779 YL 21
36,M,514,En Couple,1,true,7755 WK 34
28,M,537,En Couple,1,true,4505 MO 86
84,M,496,En Couple,0,false,1171 IB 60
20,M,839,En Couple,0,false,2828 VN 30
20,F,201,En Couple,4,false,1468 DV 20
54,M,858,En Couple,2,true,7581 YJ 89
78,F,229,En Couple,0,false,1318 MA 50
50,M,221,En Couple,4,true,421 BD 82
43,F,819,Célibataire,0,false,773 QZ 24
55,M,216,Célibataire,0,false,2592 VP 94
64,F,1108,En Couple,3,false,813 LI 68
76,M,529,En Couple,1,false,90 JV 21
23,M,570,En Couple,2,false,3845 LJ 88
54,M,841,Célibataire,0,false,2116 RK 22
59,M,1241,En Couple,3,false,4996 VH 51
76,M,408,En Couple,2,false,3583 CH 61
49,F,463,Célibataire,0,false,6887 IU 90
24,F,440,Célibataire,0,false,2815 JF 50
30,M,571,En Couple,4,false,9752 PH 82
67,M,173,En Couple,3,false,2360 SB 63
33,M,902,En Couple,0,false,9208 LK 62
25,M,773,En Couple,4,false,9556 PJ 51
20,M,212,En Couple,1,false,9717 QV 15
26,Masculin,446,En Couple,4,false,8187 DI 67
25,M,190,En Couple,4,false,7588 UX 74
71,F,505,Célibataire,0,false,1802 CQ 89
38,M,1332,Célibataire,0,false,6984 XT 34
73,F,596,En Couple,3,false,668 UE 68
24,M,499,En Couple,1,false,2088 EG 76
22,M,470,En Couple,3,false,3123 XS 69
24,M,1278,En Couple,2,false,9229 PW 21
71,F,1257,En Couple,1,false,3039 KA 60
74,M,534,En Couple,4,false,9568 VV 59
33,M,228,En Couple,2,false,7109 LM 71
81,M,224,Célibataire,0,false,2512 EG 93
65,M,463,Célibataire,0,false,8057 EX 84
39,M,885,En Couple,1,false,1978 CC 48
31,M,506,En Couple,1,false,3987 LE 34
20,F,1327,Célibataire,0,false,3710 AL 60
78,M,165,Seule,2,false,6990 IW 21
72,M,563,En Couple,4,false,8064 SJ 37
82,M,538,Célibataire,0,false,4116 VH 19
57,M,595,Célibataire,0,false,5445 LK 86
20,M,227,Célibataire,0,false,7394 YM 76
54,M,417,En Couple,1,false,3057 OP 72
39,M,229,Célibataire,0,false,3418 SC 43
73,M,1232,En Couple,1,?,1919 UG 85
49,M,1020,Célibataire,0,false,5195 TL 61
21,F,458,Seule,2,false,312 XE 76
44,M,191,Célibataire,0,false,7931 KT 47
24,M,414,En Couple,3,false,234 YP 58
51,F,534,En Couple,2,false,5997 NP 52
32,M,439,Célibataire,0,false,7650 QO 81
56,M,227,En Couple,1,false,2603 II 80
59,M,838,En Couple,3,true,5090 YH 13
84,F,936,En Couple,2,false,6620 WT 10
25,F,469,En Couple,1,true,7979 YC 26
82,M,467,Célibataire,0,false,4830 AC 64
52,M,239,En Couple,0,false,995 KV 24
59,F,178,En Couple,4,true,4301 XC 56
27,M,235,En Couple,1,true,384 SA 16
23,F,468,En Couple,2,false,5625 NX 36
29,Masculin,567,Célibataire,0,false,5499 UB 74
47,M,753,En Couple,2,false,6628 QI 70
80,F,948,En Couple,3,false,9582 QX 90
41,F,1263, ,0,false,3985 KG 29
25,M,480,En Couple,0,false,1398 BZ 27
58,M,451,Célibataire,0,false,406 QS 63
62,M,518,Marié(e),3,true,1616 JW 48
56,F,496,En Couple,0,false,1066 QW 59
83,M,429,Célibataire,0,false,5711 SM 32
71,F,465,En Couple,0,false,8935 BD 70
48,M,555,En Couple,1,false,9300 JZ 28
19,M,206,En Couple,2,false,744 DX 30
35,F,505,En Couple,2,false,4388 BX 50
28,M,702,Célibataire,0,false,1372 CT 89
83,M,1328,En Couple,0,false,8854 LV 50
49,F,774,Célibataire,0,false,3105 SB 74
34,M,588,En Couple,0,false,1538 JK 84
30,F,1179,En Couple,0,true,9945 OK 95
61,F,1147,Célibataire,0,false,6594 QS 59
73,F,422,En Couple,2,true,9255 FX 29
18,M,234,Célibataire,0,false,1955 LK 33
37,F,510,Célibataire,0,false,1458 AL 41
21,Homme,998,Célibataire,0,false,21 FH 67
40,M,509,En Couple,0,false,7601 OP 72
25,M,421,En Couple,2,false,8647 RS 72
28,M,178,Célibataire,0,false,1630 ZV 36
63,M,249,En Couple,0,false,6683 VV 24
59,M,724,En Couple,2,true,5571 PG 41
32,M,706,En Couple,1,false,9447 IE 56
37,F,957,En Couple,3,true,1454 WX 62
37,M,240,En Couple,1,false,385 MF 53
70,M,208,Célibataire,0,false,4032 AD 83
63,M,481,Seule,1,false,4514 EC 91
51,M,708,En Couple,0,false,3017 VF 19
45,M,1255,Célibataire,0,false,4788 UF 94
70,M,1137,Seule,2,false,2110 DX 53
33,M,174,En Couple,2,false,7908 AZ 54
20,M,199,Célibataire,0,false,1427 QJ 55
23,M,485,En Couple,2,true,6607 WE 28
-1,M,1161,En Couple,2,false,3345 OM 27
59,F,244,En Couple,2,true,3080 FM 89
32,M,180,Célibataire,0,false,8464 VZ 23
43,M,584,En Couple,2,true,2864 QP 18
24,M,470,Seule,3,false,717 LA 53
20,F,1361,En Couple,4,true,7452 HP 64
19,F,1293,En Couple,0,false,917 YV 89
20,M,539,En Couple,4,true,3635 HU 19
42,F,153,Célibataire,0,false,8968 PG 28
22,M,483,En Couple,0,false,9469 BF 27
34,M,1007,Célibataire,0,false,2774 ZX 70
24,M,486,Célibataire,0,false,3748 JJ 18
53,M,474,En Couple,2,false,6133 TZ 29
50,M,503,En Couple,1,false,6902 AO 83
47,F,1325,En Couple,0,false,5256 LX 45
45,M,1024,En Couple,1,false,7776 RJ 97
62,M,207,En Couple,2,false,8201 KB 76
28,?,1010,En Couple,3,false,6340 AN 74
29,M,591,Célibataire,0,false,3919 DG 84
73,F,477,En Couple,3,false,6980 QH 20
18,M,188,En Couple,3,?,4408 RT 54
32,M,232,Célibataire,0,false,8788 BP 97
49,M,245,Célibataire,0,false,6624 II 63
69,F,232,En Couple,1,true,3563 LH 33
57,M,563,En Couple,0,false,1351 IR 52
79,M,536,Célibataire,0,false,3138 YY 69
53,M,193,Seule,3,false,3551 QE 87
28,F,518,En Couple,1,false,2851 TZ 74
53,M,152,Célibataire,0,false,4571 JV 47
46,F,526,En Couple,0,true,9930 OL 53
39,F,521,Célibataire,0,false,289 IB 39
30,M,816,Célibataire,0,false,2199 ID 24
60,M,952,En Couple,1,false,7608 ZR 92
20,M,402,En Couple,3,false,6026 MP 21
37,F,174,En Couple,0,false,3354 RQ 14
50,F,447,Célibataire,0,false,21 AM 82
53,M,1118,En Couple,0,true,3347 JJ 31
40,F,574,En Couple,1,true,7261 IK 74
25,F,1397,En Couple,2,false,175 HH 84
71,F,244,En Couple,4,false,3801 IV 11
23,M,1326,En Couple,4,false,6895 HD 21
50,M,927,En Couple,2,false,1537 SG 13
28,F,719,En Couple,3,false,2709 KV 21
72,M,1054,Célibataire,0,false,6767 FV 11
35,F,855,En Couple,0,false,7586 FO 84
38,F,423,En Couple,0,true,7457 CA 75
68,M,234,En Couple,4,false,8670 HI 87
28,F,529,En Couple,4,true,3108 PL 54
30,F,568,Célibataire,0,false,5632 RT 97
